Active,Date Added,Last Active,URL,Price,ZIP,City,Disposition,Details
A,26.07.2025,11.08.2025,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu03167831620czu/qiq,Zdarma,481!12,čftlê!CveĜkpwjdf,1+1,""
A,25.07.2025,11.08.2025,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu03167599830qspefk.czuv.22.w.dftlzdi.cvefkpwjdjdi/qiq,3290000,481!16,čftlê!CveĜkpwjdf,1+1,|  družstevní  |  centrum  |  MHD  |  balk  
A,25.07.2025,11.08.2025,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu03167489220qspefk.czuv.22.52.n.dftlf.cvefkpwjdf.vm.w.wpmgb/qiq,3150000,481!16,čftlê!CveĜkpwjdf,1+1,|  družstevní  
A,22.07.2025,11.08.2025,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu03166269520qspefk.czuz22.49.n3.ofsvepwb.327931.dftlf.cvefkpwjdf/qiq,4800000,481!15,čftlê!CveĜkpwjdf,1+1,|  centrum  |  balk  
X,18.07.2025,25.07.2025,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu0316441:330czu.22.pw.dftlf.cvefkpwjdf.3/qiq,3420000,481!12,čftlê!CveĜkpwjdf,1+1,|  OV  
X,17.07.2025,18.07.2025,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu0316418734022.pw.dftlf.cvefkpwjdf.l.tbgbsf/qiq,3420,481!12,čftlê!CveĜkpwjdf,1+1,|  OV  |  balk  
X,01.07.2025,04.07.2025,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu03156:82810qspefk.czuv.22.dftlf.cvefkpwjdf/qiq,4490000,481!15,čftlê!CveĜkpwjdf,1+1,|  osobní  |  po rekonstrukci  |  zateplen  |  balk  
X,30.06.2025,09.07.2025,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu03156357490tmvooz.czu.22.t.cbmlpofn.v.kjipdftlf.vojwfs{juz.qp.sflpotu/qiq,3190000,481!16,čftlê!CveĜkpwjdf,1+1,|  osobní  |  centrum  |  zateplen  |  MHD  |  balk  |  plastová okna  
A,23.06.2025,11.08.2025,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu03153545980qspefk.czuv.22.54.n.t.hbsb{j.wf.{mjwj.vm.opwb/qiq,3500000,484!55,čftlê!CveĜkpwjdf,1+1,|  osobní  |  družstevní  |  balk  
X,23.06.2025,10.07.2025,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu03153724710nbn.{bkfn.p.lpvqj.czuv.2ll.dj.22.w.dc/qiq,Nabídněte,481!12,čftlê!CveĜkpwjdf,1+1,""
X,20.06.2025,16.07.2025,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu03152458920czu.22/qiq,3750000,481!15,čftlê!CveĜkpwjdf,1+1,|  po rekonstrukci  
A,13.06.2025,11.08.2025,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu03149557910qspefk.czu.22.52n3.opwf.isbez.{bisbeoj.duwsu/qiq,2298000,481!12,čftlê!CveĜkpwjdf,1+1,|  po rekonstrukci  |  zateplen  |  plastová okna  
