Active,Date Added,Last Active,URL,Price,ZIP,City,Disposition,Details
A,07.12.2023,08.12.2023,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02893247590qspefk.czuv.2ll.44.n.dftlf.cvefkpwjdf.vm.qml.nbmfip/qiq,2940000,481!16,čftlê!CveĜkpwjdf,1+kk,|  aukc  
A,06.12.2023,08.12.2023,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu028928416:0qspefk.czu.2ll.55/qiq,3496000,481!12,čftlê!CveĜkpwjdf,1+kk,|  OV  |  novostavb  |  MHD  
A,06.12.2023,08.12.2023,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02892863270qspefk.czu.4ll.82/qiq,5990000,481!12,čftlê!CveĜkpwjdf,1+kk,|  osobní  |  OV  |  MHD  |  balk  
A,06.12.2023,08.12.2023,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02892863180qspefk.czu.3ll.58/qiq,4290000,481!12,čftlê!CveĜkpwjdf,1+kk,|  osobní  |  OV  |  MHD  |  balk  
A,06.12.2023,08.12.2023,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu0289285:760qspefk.czu.2ll.39/qiq,849000,481!22,čftlê!CveĜkpwjdf,1+kk,|  OV  
A,06.12.2023,08.12.2023,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu028929182:0qspefk.czu.3ll.53/qiq,3990000,481!12,čftlê!CveĜkpwjdf,1+kk,|  osobní  |  OV  |  MHD  |  balk  
A,06.12.2023,08.12.2023,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02892924940qspefk.czu.3ll.63/qiq,5180000,481!12,čftlê!CveĜkpwjdf,1+kk,|  osobní  |  OV  |  MHD  |  balk  
A,01.12.2023,08.12.2023,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu0288:4::770qspefk.czuv.2ll.44.n.dftlf.cvefkpwjdf.vm.qml.nbmfip/qiq,3049000,481!16,čftlê!CveĜkpwjdf,1+kk,|  aukc  
X,20.11.2023,27.11.2023,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02884872470qspefk.czuv.2ll.32.n.dftlf.cvefkpwjdf.vm.qflbsfotlb/qiq,1600000,481!15,čftlê!CveĜkpwjdf,1+kk,|  družstevní  
A,13.11.2023,08.12.2023,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02881544330qspefk.czu.2ll.37/qiq,3080000,481!21,čftlê!CveĜkpwjdf,1+kk,|  osobní  |  OV  
A,01.11.2023,08.12.2023,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02875556430qspefk.hbstpojfsb.mjuwjopwjdlb.vm.dftlf.cvefkpwjdf.ufsbtb.cb{fo.lpnpsb/qiq,3350000,481!12,čftlê!CveĜkpwjdf,1+kk,|  osobní  
A,14.10.2023,08.12.2023,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu0286727:820qspefk.czu.3ll.58/qiq,4490000,481!12,čftlê!CveĜkpwjdf,1+kk,|  osobní  |  OV  |  MHD  |  balk  
A,14.10.2023,08.12.2023,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02867279130qspefk.czu.3ll.63/qiq,5280000,481!12,čftlê!CveĜkpwjdf,1+kk,|  osobní  |  OV  |  MHD  |  balk  
A,12.10.2023,08.12.2023,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02865:23290qspebn.hbstpolv.w.dftlzdi.cvefkpwjdjdi/qiq,2090000,481!17,čftlê!CveĜkpwjdf,1+kk,|  OV  |  MHD  
A,07.10.2023,08.12.2023,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02863585670opwf.czemfoj.czu.4ll823n33c.wdtlmfqv.b.cbmlpov.qbslpwboj.{bisbeb.obesb/qiq,5990000,481!12,čftlê!CveĜkpwjdf,1+kk,|  osobní  |  OV  |  MHD  |  balk  
X,06.10.2023,28.11.2023,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02863343780opwf.czemfoj.czu.4ll98:n32c.wd.tlmfqv.b.mpe{jf.qbslpwboj.{bisbeb.obesb/qiq,6470000,481!12,čftlê!CveĜkpwjdf,1+kk,|  osobní  |  OV  |  MHD  |  balk  
A,06.10.2023,08.12.2023,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu0286333:580opwf.czemfoj.czu.3ll73n33dwd.tlmfqv.b.cbmlpov.qbslpwboj.{bisbebobesb{o/qiq,5180000,481!12,čftlê!CveĜkpwjdf,1+kk,|  osobní  |  OV  |  MHD  |  balk  
