Active,Date Added,Last Active,URL,Price,ZIP,City,Disposition,Details
A,22.11.2024,26.11.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02:54292220qspefk.czu.32.pw.75n3.ofebmflp.dfousb.pcdf.cpsp.242374/qiq,2795000,484!23,čftlê!CveĜkpwjdf,2+1,|  osobní  |  OV  
A,22.11.2024,26.11.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02:54188440qspefk.czu.32.73/qiq,4490000,481!16,čftlê!CveĜkpwjdf,2+1,|  MHD  
X,21.11.2024,24.11.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02:53722890qspefk.czu.42.74/qiq,4490000,481!15,čftlê!CveĜkpwjdf,2+1,|  MHD  
A,19.11.2024,26.11.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02:52:89480qspefk.czuv.32.62n.dftlf.cvefkpwjdf.vmjdf.b.usbhfsb/qiq,4100000,481!21,čftlê!CveĜkpwjdf,2+1,|  osobní  |  plastová okna  
A,17.11.2024,26.11.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02:51586660qspefk.czu.32.62/qiq,3290000,481!12,čftlê!CveĜkpwjdf,2+1,|  osobní  |  MHD  
A,16.11.2024,26.11.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02:51239780qspefk.czu.32.vm.wfusob.dftlf.cvefkpwjdf.pw.cbmlpo/qiq,3500000,481!16,čftlê!CveĜkpwjdf,2+1,|  osobní  |  OV  |  centrum  |  zateplen  |  MHD  |  balk  
A,16.11.2024,26.11.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02:5117:750qspefk.czu.32.tbuob.cbmlpo.tlmfq.feftujopwf.dftlf.cv/qiq,4990000,481!16,čftlê!CveĜkpwjdf,2+1,|  osobní  |  OV  |  zateplen  |  balk  |  plastová okna  
A,14.11.2024,26.11.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02:4:618490qspefk.czuv.32.64.n.dftlf.cvefkpwjdf.vm.l.w.sbjtf/qiq,4750000,481!19,čftlê!CveĜkpwjdf,2+1,|  osobní  |  po rekonstrukci  |  plastová okna  
X,13.11.2024,21.11.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02:49985170qspefk.{efofip.czuv.52.csp{jlpwb.dftlf.cvefkpwjdf/qiq,7990000,481!12,čftlê!CveĜkpwjdf,2+1,|  osobní  |  OV  |  MHD  
A,09.11.2024,26.11.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02:4772::90qspefk.czuv.32.w.dfousv.dc/qiq,Dohodou,481!12,čftlê!CveĜkpwjdf,2+1,|  osobní  
A,07.11.2024,26.11.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02:46873220qspefk.czu.32.62/qiq,3990000,481!15,čftlê!CveĜkpwjdf,2+1,|  osobní  |  OV  |  družstevní  |  po rekonstrukci  
X,06.11.2024,09.11.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02:46719560qspefk.czuv.32.58.n.dftlf.cvefkpwjdf.vm.qm{fotlb/qiq,3200000,481!15,čftlê!CveĜkpwjdf,2+1,|  družstevní  |  zateplen  |  aukc  |  plastová okna  
A,02.11.2024,26.11.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02:44652510czu.w.dftlzdi.cvefkpwjdjdi/qiq,Nabídněte,481!12,čftlê!CveĜkpwjdf,2+1,|  osobní  
A,01.11.2024,26.11.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02:43994:20qspefk.esv{tufwojip.czuv.32.t.cbmlpofn.csbojtpwtlb.dftlf.cvefkpwjdf/qiq,3800000,481!16,čftlê!CveĜkpwjdf,2+1,|  družstevní  |  zateplen  |  MHD  |  balk  
X,01.11.2024,05.11.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02:43:45160qspefk.czuv.32.58.n.dftlf.cvefkpwjdf.vm.qm{fotlb/qiq,3150000,481!15,čftlê!CveĜkpwjdf,2+1,|  družstevní  |  zateplen  |  aukc  |  plastová okna  
A,25.10.2024,26.11.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02:3:814770qspefk.czuv.32.tfwfujo/qiq,Vtextu,484!74,čftlê!CveĜkpwjdf,2+1,""
X,23.10.2024,31.10.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02:39979:70qspefk.czuv.32.58.n.dftlf.cvefkpwjdf.vm.qm{fotlb/qiq,3190000,481!15,čftlê!CveĜkpwjdf,2+1,|  družstevní  |  zateplen  |  aukc  |  plastová okna  
A,22.10.2024,26.11.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02:38::2330qspefk.czu.32.pw.87.n3.{bisbeb.w.djimpwfn.ep.238122/qiq,5250000,481!12,čftlê!CveĜkpwjdf,2+1,|  osobní  |  OV  |  centrum  |  zateplen  |  MHD  |  balk  
X,19.10.2024,20.10.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02:37666610qspefkczu.32pw76n3.2q.qbofmpwfip.epnv.ob.vm.241771/qiq,4230000,481!15,čftlê!CveĜkpwjdf,2+1,|  osobní  |  OV  |  MHD  
A,18.10.2024,26.11.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02:37217290qspefk.czu.32.96/qiq,4990000,481!12,čftlê!CveĜkpwjdf,2+1,|  osobní  |  OV  
A,09.10.2024,26.11.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02:332:4440qspefk.czuv.32.w.dfousv.dftlzdi.cvefkpwjd/qiq,3950000,481!12,čftlê!CveĜkpwjdf,2+1,|  osobní  |  družstevní  |  balk  
X,09.10.2024,22.10.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02:333:4:10qspefk.czuv.32.58.n.dftlf.cvefkpwjdf.vm.qm{fotlb/qiq,3190000,481!15,čftlê!CveĜkpwjdf,2+1,|  družstevní  |  zateplen  |  aukc  |  plastová okna  
X,08.10.2024,18.10.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02:32652730qspefk.qbofm.czuv.32.69n3.pw.cbmlpo.lpnpsb.wfusob.vmj/qiq,3498000,481!16,čftlê!CveĜkpwjdf,2+1,|  OV  |  zateplen  |  MHD  |  balk  |  plastová okna  
A,05.10.2024,26.11.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02:2:::9440qspefk.czuv.32.72.n.dftlf.cvefkpwjdf.vm.k.pqmfubmb/qiq,4100000,481!16,čftlê!CveĜkpwjdf,2+1,|  osobní  
X,03.10.2024,25.10.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02:2:41:110qspefk.czuv.32.75.n.dftlf.cvefkpwjdf.vm.qm{fotlb/qiq,4445200,481!15,čftlê!CveĜkpwjdf,2+1,""
