Active,Date Added,Last Active,URL,Price,ZIP,City,Disposition,Details
A,26.08.2025,28.08.2025,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu03181486690qspefk.czu.4ll.917.n3.vm.obesb{oj.dftlf.cvefkpwjdf/qiq,7490000,481!12,čftlê!CveĜkpwjdf,3+kk,|  novostavb  |  balk  
A,25.08.2025,28.08.2025,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu03181119930czu.4ll.qspefk/qiq,8500000,481!18,čftlê!CveĜkpwjdf,3+kk,|  balk  
A,25.08.2025,28.08.2025,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu03181134360{efoz.czu.4ll.t.cbmlpofn.tlmfqfn.b.qbslpwbdjn.njtufn/qiq,6290000,481!17,čftlê!CveĜkpwjdf,3+kk,|  centrum  |  novostavb  |  balk  
A,21.08.2025,28.08.2025,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu031792:87704ll.dftlf.cvefkpwjdf.csbojtpwtlb.v.kjipdftlf.vojwfs{juz/qiq,5200000,481!12,čftlê!CveĜkpwjdf,3+kk,|  osobní  |  MHD  |  balk  
A,19.08.2025,28.08.2025,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu031782681:0qspefk.czu.4ll.92/qiq,7390000,481!12,čftlê!CveĜkpwjdf,3+kk,|  OV  |  MHD  |  balk  
X,19.08.2025,20.08.2025,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu031785192804ll.dftlf.cvefkpwjdf.csbojtpwtlb.v.kjipdftlf.vojwfs{juz/qiq,5200000,481!12,čftlê!CveĜkpwjdf,3+kk,|  osobní  |  MHD  |  balk  
X,15.08.2025,19.08.2025,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu031767965104ll.dftlf.cvefkpwjdf.csbojtpwtlb.v.kjipdftlf.vojwfs{juz/qiq,5200000,481!12,čftlê!CveĜkpwjdf,3+kk,|  osobní  |  MHD  |  balk  
A,15.08.2025,28.08.2025,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu03176841590qspebn.czu.4ll.w.dc/qiq,6290000,481!16,čftlê!CveĜkpwjdf,3+kk,|  novostavb  
X,13.08.2025,15.08.2025,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu031758745204ll.dftlf.cvefkpwjdf.csbojtpwtlb.v.kjipdftlf.vojwfs{juz/qiq,5200000,481!12,čftlê!CveĜkpwjdf,3+kk,|  osobní  |  MHD  |  balk  
A,13.08.2025,28.08.2025,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu03175978:70qspefk.opwfip.czuv.4ll.t.ufsbtpv.tspvcbsfotlb.dc/qiq,7250000,481!19,čftlê!CveĜkpwjdf,3+kk,|  OV  |  MHD  
