Active,Date Added,Last Active,URL,Price,ZIP,City,Disposition,Details
A,08.07.2024,09.07.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02991536610qspobkfn.3ll.dftlf.cvefkpwjdf.{j{lpwb.us.v.dfousb/qiq,10000,481!12,čftlê!CveĜkpwjdf,2+kk,|  po rekonstrukci  
A,08.07.2024,09.07.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02991583590qspobkfn.czuv/qiq,Vtextu,481!12,čftlê!CveĜkpwjdf,2+kk,|  MHD  
A,08.07.2024,09.07.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu029915:8320qspobkfn.czuv.3ll.gsboj.tsbnlb.dftlf.cvefkpwjdf/qiq,13000,481!12,čftlê!CveĜkpwjdf,2+kk,|  OV  |  centrum  
X,08.07.2024,08.07.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02991783110qspobkfn.czu.3ll.58.n3.vm.publbspwb.dftlf.cvefkpwjdf/qiq,11000,481!12,čftlê!CveĜkpwjdf,2+kk,""
A,05.07.2024,09.07.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu0298:154790qspobkfn.{efofip.czuv.p.ejtqp{jdj.3ll.ivtpwb.us.dftlf.cvefkpwjdf/qiq,14000,481!16,čftlê!CveĜkpwjdf,2+kk,""
A,04.07.2024,09.07.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02989967410qspobkfn.czuv.3ll/qiq,10000,484!83,čftlê!CveĜkpwjdf,2+kk,""
A,03.07.2024,09.07.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02989429410qspobkfn.3ll.opwf.isbez.6.lwfuob.czemfoj.v.isbojd.t.bu/qiq,7000,484!44,čftlê!CveĜkpwjdf,2+kk,""
A,03.07.2024,09.07.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02989654330qspobkfn.czuv.3ll.vmjdf.tujuofip.w.dftlzdi.cvefkpwjdjdi/qiq,10500,481!12,čftlê!CveĜkpwjdf,2+kk,|  zateplen  
X,02.07.2024,02.07.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02988:21490qspobkfn.3ll.opwf.isbez.6.lwfuob.czemfoj.v.isbojd.t.bu/qiq,7000,484!44,čftlê!CveĜkpwjdf,2+kk,""
A,02.07.2024,09.07.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02988:48580qspobkfn.czuv.3ll.k.qmbdiuz.dftlf.cvefkpwjdf.4.23511.ldnft.49.n3/qiq,12400,481!21,čftlê!CveĜkpwjdf,2+kk,|  centrum  |  MHD  |  balk  
A,01.07.2024,09.07.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu029883:1440qspobkfn.czuv.3ll.72.n3.mfefojdlb.dftlf.cvefkpwjdf/qiq,17500,481!17,čftlê!CveĜkpwjdf,2+kk,|  balk  
A,01.07.2024,09.07.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02988567:30qspobkfn.nf{pofuv.3ll.vm.v.uspkjdf.d.cvefkpwjdf/qiq,14000,481!15,čftlê!CveĜkpwjdf,2+kk,|  zateplen  |  balk  
A,01.07.2024,09.07.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu029883::450qspobkfn.twfumfip.czuv.3ll.w.vmjdj.ofsvepwb.dftlf.cvefkpwjdf/qiq,14000,481!15,čftlê!CveĜkpwjdf,2+kk,""
A,30.06.2024,09.07.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02988173:20qspobkfn.czu.3ll.dfousvn.efmojdlb.vm.pe.dfswfodf.3135/qiq,10000,481!12,čftlê!CveĜkpwjdf,2+kk,|  centrum  
A,28.06.2024,09.07.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02987484510qspobkfn.czu.3ll.nf{pofu.61.23.n3uspdopw.dftlf.cvefkpwjdf/qiq,13000,484!23,čftlê!CveĜkpwjdf,2+kk,|  zateplen  |  plastová okna  
X,27.06.2024,07.07.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02986937650qspobkfn.czuv.3ll.56n3.mpe{jf.46n3.w.vmjdj.difmdjdlfip/qiq,13700,481!12,čftlê!CveĜkpwjdf,2+kk,""
A,25.06.2024,09.07.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02985:87620qspobkfn.czuv.3ll.qp.sflpotusvldj.w.dftlzdi.cvefkpwjdjdi/qiq,Vtextu,481!12,čftlê!CveĜkpwjdf,2+kk,|  po rekonstrukci  |  MHD  |  balk  
X,24.06.2024,25.06.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02985579130qspobkfn.3ll.opwf.isbez.6.lwfuob.v.isbojd.t.sblpvtlfn/qiq,9000,484!44,čftlê!CveĜkpwjdf,2+kk,""
X,24.06.2024,30.06.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02985568540qspobkfn.nf{pofuv.3ll.vm.v.uspkjdf.d.cvefkpwjdf/qiq,14000,481!15,čftlê!CveĜkpwjdf,2+kk,|  zateplen  |  balk  
X,24.06.2024,02.07.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02985558290qspobkfn.3ll.opwf.isbez.6.lwfuob.czemfoj.v.isbojd/qiq,7000,484!44,čftlê!CveĜkpwjdf,2+kk,""
A,23.06.2024,09.07.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02985317740qspobkfn.czu.3ll.49/qiq,11900,481!12,čftlê!CveĜkpwjdf,2+kk,|  MHD  
X,23.06.2024,23.06.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu029852:1180qspobkfn.tmvoofip.nf{pofupwfip.czuv.3.ll.w.cmj{lptuj.jhz/qiq,Nabídněte,481!15,čftlê!CveĜkpwjdf,2+kk,|  balk  
A,20.06.2024,09.07.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02983:61370l.qspobknv.czu.3ll.w.vm.lpnfotlfip.34451.481.12.dftlf.cvefkpwjdf/qiq,12500,481!12,čftlê!CveĜkpwjdf,2+kk,|  osobní  |  MHD  
A,20.06.2024,09.07.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02984176890qspobkfn.czu.3ll/qiq,17000,481!21,čftlê!CveĜkpwjdf,2+kk,|  osobní  |  OV  
A,19.06.2024,09.07.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02983417910imfebn.czemfoj.dftlf.cvefkpwjdf/qiq,15000,481!16,čftlê!CveĜkpwjdf,2+kk,|  MHD  
X,19.06.2024,23.06.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu029835:2580qspobkfn.3ll.opwf.isbez.6.lwfuob.czemfoj.v.isbojd/qiq,7000,484!44,čftlê!CveĜkpwjdf,2+kk,""
X,17.06.2024,20.06.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02982713250qspobkfn.czuz.3ll.t.mpe{jj.vmjdf.wfusob.dftlf.cvefkpwjdf.3/qiq,11500,481!16,čftlê!CveĜkpwjdf,2+kk,""
X,17.06.2024,18.06.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02982696880qspobkfn.czuv.3ll.69.n.dftlf.cvefkpwjdf.ob.{mbuf.tupdf/qiq,13700,481!16,čftlê!CveĜkpwjdf,2+kk,""
A,17.06.2024,09.07.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02982816:50qspobkfn.czu.3ll.uspdopw.dftlf.cvefkpwjdf/qiq,13000,484!23,čftlê!CveĜkpwjdf,2+kk,|  zateplen  |  plastová okna  
A,14.06.2024,09.07.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu029812532:03ll.w.dftlzdi.cvefkpwjdjdi.l.qspobknv/qiq,10500,481!12,čftlê!CveĜkpwjdf,2+kk,|  MHD  
X,14.06.2024,23.06.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02981343570qspobkfn.3ll.opwf.isbez.6.lwfuob.v.isbojd.t.sblpvtlfn/qiq,9000,484!44,čftlê!CveĜkpwjdf,2+kk,""
X,11.06.2024,26.06.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02979964180qspobkfn.czuv.3ll.56n3.mpe{jf.46n3.w.vmjdj.difmdjdlfip/qiq,13700,481!12,čftlê!CveĜkpwjdf,2+kk,""
A,11.06.2024,09.07.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu029798:7260qspobkfn.czuv.3ll.vmjdf.imjotlb.dftlf.cvefkpwjdf/qiq,9900,481!12,čftlê!CveĜkpwjdf,2+kk,""
X,10.06.2024,11.06.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02979539450qspobkfn.3ll.dftlf.cvefkpwjdf.w.nmbefn/qiq,8000,481!12,čftlê!CveĜkpwjdf,2+kk,|  MHD  |  plastová okna  
X,07.06.2024,09.06.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu0297826:350qspobkfn.3ll.dftlf.cvefkpwjdf.ifzevlpwb.v.ofnpdojdf/qiq,10000,481!12,čftlê!CveĜkpwjdf,2+kk,|  po rekonstrukci  
X,07.06.2024,10.06.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02978267680qspobkfn.3ll.dftlf.cvefkpwjdf.w.nmbefn/qiq,8000,481!12,čftlê!CveĜkpwjdf,2+kk,|  MHD  |  plastová okna  
X,07.06.2024,14.06.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02978263590qspobkfn.3ll.opwf.isbez.6.lwfuob.v.isbojd.t.sblpvtlfn/qiq,9000,484!44,čftlê!CveĜkpwjdf,2+kk,""
