Active,Date Added,Last Active,URL,Price,ZIP,City,Disposition,Details
A,09.04.2024,09.04.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu0294:694220qspobkfn.czuv.42.t.cbmlpofn.kbolpw/qiq,10000,484!95,čftlê!CveĜkpwjdf,3+1,|  osobní  |  OV  |  balk  
A,09.04.2024,09.04.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu0294:6:5930qspobkfn.qbofmpwfip.czuv.42.t.mpe{jj.mjeljdlb.us.d.cvefkpwjdf/qiq,12500,481!12,čftlê!CveĜkpwjdf,3+1,|  osobní  |  OV  |  centrum  |  MHD  |  balk  
A,07.04.2024,09.04.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02949739530qspobkfn.czuv.42.211.n3.usftopwb.bebnpw/qiq,25000,484!82,čftlê!CveĜkpwjdf,3+1,""
A,03.04.2024,09.04.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02947969:80qspobkfn.czu.42.87/qiq,14000,481!22,čftlê!CveĜkpwjdf,3+1,|  osobní  |  balk  
A,01.04.2024,09.04.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02946918570qspobkfn.czuv.42/qiq,15000,481!15,čftlê!CveĜkpwjdf,3+1,""
X,28.03.2024,30.03.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02944978250qspobkfn.czu.42.211.n3.dftlf.cvefkpwjdf.vmjdf.qbcmbtlpwb/qiq,16500,481!12,čftlê!CveĜkpwjdf,3+1,|  balk  
X,26.03.2024,08.04.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02943938320qspobkfn.czuv.42.qp.dbtufdof.sflpotusvldj.t.cbmlpofn/qiq,8900,481!18,čftlê!CveĜkpwjdf,3+1,|  balk  
X,20.03.2024,02.04.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu0293:953560qspobkfn.42.t.cbmlpofn.cpstpwtlb.dftlf.cvefkpwjdf/qiq,125000,481!18,čftlê!CveĜkpwjdf,3+1,|  po rekonstrukci  |  balk  |  plastová okna  
X,18.03.2024,18.03.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02939964130imfebn.qspobkfn/qiq,20000,484!52,čftlê!CveĜkpwjdf,3+1,""
X,17.03.2024,18.03.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02939678:30qspobknv.{bsj{foz.czu.42.tjem.wmubwb/qiq,15000,481!22,čftlê!CveĜkpwjdf,3+1,""
A,14.03.2024,09.04.2024,iuuqt;00sfbmjuz/cb{pt/d{0jo{fsbu02937:96560qspobkfn.t.np{optuj.pelvqv/qiq,25000,481!12,čftlê!CveĜkpwjdf,3+1,""
